Facility,Company.x,Total.Stationary.Combusion.2010,diff.11.10,Total.Stationary.Combusion.2011,diff.12.11,Total.Stationary.Combusion.2012,diff.12.10
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,394559,394559,394559
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,148780,148780,148780
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,147015,147015,147015
BCGP00002917 (Wildboy Gas Plant),0,0,0,0,114184,114184,114184
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,110257,110257,110257
Cariboo Pulp and Paper Company,0,0,0,0,96951,96951,96951
Central Heat Distribution Limited,0,0,0,0,96399,96399,96399
5-1-77-17W6,0,0,69511,69511,26197,95708,95708
Greenhills Operations,Teck Coal Limited,109287,-1172,108115,92828,200943,91656
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,77803,77803,77803
Montney Gas Processing and Production,Shell Canada Limited,49661,56225,105886,13876,119762,70101
Powell River Division,Catalyst Paper Corporation,29445,15803,45248,51240,96488,67043
Fort Nelson Gas Plant,Spectra Energy Transmission,401842,71966,473808,-12026,461782,59940
Sierra Gas Plant,0,0,59343,59343,-3763,55580,55580
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,54584,54584,54584
Tupper A-21-B/093-09-P,0,0,61816,61816,-10538,51278,51278
Ang Moyie Facility,0,0,0,0,49892,49892,49892
Horn River Comp Stn C-067-K,EnCana Corporation,26392,45610,72002,2698,74700,48308
Prince George Pulp and Paper and Intercontinental Pulp Mills,Canfor Pulp Limited Partnership,106469,9709,116178,36290,152468,45999
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,45116,45116,45116
Sunrise 3-18-80-17 W6,0,0,10517,10517,33602,44119,44119
Farrell Creek Facility,Talisman Energy Inc.,10880,15347,26227,19215,45442,34562
Fortune Creek Compressor Station,0,0,11897,11897,22655,34552,34552
Dawson/Doe 1-32-80-15 W6,0,0,0,0,34399,34399,34399
Mackenzie Pulp Mill,Mackenzie Pulp Mill Corporation,52183,43800,95983,-10407,85576,33393
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,32671,32671,32671
Bur0by Refinery,Chevron Canada Limited,266774,22748,289522,9799,299321,32547
Caribou Sour Gas Plant C-004-G,0,0,44333,44333,-12608,31725,31725
Tembec Skookumchuck Operation,0,0,0,0,30641,30641,30641
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,29900,29900,29900
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,29582,29582,29582
Ang Elko Facility,0,0,0,0,27212,27212,27212
Etsho North Compressor Station,Nexen Inc.,17049,22449,39498,2744,42242,25193
Booster Station 12 - Fort Nelson,0,0,44975,44975,-20412,24563,24563
Dawson Plant,0,0,0,0,24057,24057,24057
West Coast Reduction Ltd.,0,0,0,0,22810,22810,22810
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,22246,22246,22246
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,20581,20581,20581
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,19969,19969,19969
Progress Ne Gundy A-58-H/94-B-16,0,0,0,0,19916,19916,19916
Blair Creek Comp Stn D-058-F,0,0,8752,8752,10431,19183,19183
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,18184,18184,18184
BCBT00002917 (Wildboy Battery) ,0,0,0,0,17650,17650,17650
Transmission Mainline,Spectra Energy Transmission,557481,23752,581233,-6108,575125,17644
Tattoo Compressor Station,0,0,19838,19838,-2676,17162,17162
Chetwynd Operations,0,0,0,0,17027,17027,17027
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,16947,16947,16947
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,16726,16726,16726
Kiwiga0 Comp Stn C-093-L,0,0,0,0,16670,16670,16670
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,15885,15885,15885
Crofton Division,Catalyst Paper Corporation,98021,2005,100026,13801,113827,15806
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,15518,15518,15518
Progress Town South D-59-J/94-B-16,0,0,0,0,15434,15434,15434
Hiding Comp Station D-039-G,0,0,0,0,15264,15264,15264
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,15041,15041,15041
Laprise A-40-E/94-H-5 ,0,0,0,0,14461,14461,14461
Parkland Comp Stn 08-13,0,0,24473,24473,-10163,14310,14310
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,13552,13552,13552
Blueberry C-29-K/94-A-12,0,0,12819,12819,278,13097,13097
Ladner Greenhouse,Windset Farms Inc.,13407,8205,21612,4790,26402,12995
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,12386,12386,12386
S. Buick Oil Battery D-078-I,0,0,0,0,11222,11222,11222
Jedney North B-76-C/94-G-8,0,0,0,0,11196,11196,11196
Septimus Sweet Gas Plant 12-27,Aux Sable Canada L.P.,13987,10218,24205,827,25032,11045
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,11037,11037,11037
Howe Sound Pulp and Paper Mill,Howe Sound Pulp & Paper Corporation,53783,14152,67935,-3289,64646,10863
0L Fireweed C-A-16-A/94-A-13,0,0,9214,9214,1464,10678,10678
Tsea D-07-I C/S,0,0,0,0,10530,10530,10530
Delta II Facility,0,0,10422,10422,-534,9888,9888
West Gundy C-86-J/94-B-9,0,0,0,0,9676,9676,9676
Groundbirch Gas Plant,0,0,11751,11751,-2092,9659,9659
Blueberry D-87-D/94-A-13,0,0,9255,9255,294,9549,9549
Ojay Facility,Talisman Energy Inc.,9244,9684,18928,-158,18770,9526
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,9431,9431,9431
Coal Mountain Operations,Teck Coal Limited,54591,-5088,49503,13566,63069,8478
Bo0vista Blueberry D-50-C/94-A-13,0,0,0,0,8341,8341,8341
Gote Comp Stn C-018-B,0,0,10093,10093,-1825,8268,8268
Buckinghorse Comp Stn D-044-A,0,0,8280,8280,-142,8138,8138
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,8034,8034,8034
Velma Comp Stn B-088-D,0,0,7615,7615,294,7909,7909
Dawson Comp Stn 01-34,ARC Resources,8622,6896,15518,874,16392,7770
BCBT00002487 (Firebird ),0,0,0,0,7411,7411,7411
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,7197,7197,7197
Umback D-36,0,0,7990,7990,-797,7193,7193
Hythe Comp Stn A-005-G,EnCana Corporation,31007,14933,45940,-7817,38123,7116
Dunkley Lumber Facility,Dunkley Lumber Ltd.,12221,5876,18097,914,19011,6790
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,6746,6746,6746
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,6724,6724,6724
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,6377,6377,6377
