Facility,Company.x,Total.Industrial.Process.2010,Total.Flaring.2010,Total.Venting.2010,Total.Fugitive.2010,Total.On.site.Transportation.2010,Total.Waste.2010,Total.Wastewater.2010,Total.untaxed.2010,Total.Industrial.Process.2011,Total.Flaring.2011,Total.Venting.2011,Total.Fugitive.2011,Total.On.site.Transportation.2011,Total.Waste.2011,Total.Wastewater.2011,Total.untaxed.2011,Total.Industrial.Process.2012,Total.Flaring.2012,Total.Venting.2012,Total.Fugitive.2012,Total.On.site.Transportation.2012,Total.Waste.2012,Total.Wastewater.2012,Total.untaxed.2012
Adsett Comp Stn D-053-G,Canadian Natural Resources Limited,0,144,2373,2787,0,0,0,5304, -   ,112,103,2788, -   , -   , -   ,3003,NA,NA,NA,NA,NA,NA,NA,0
ANG Crowsnest Facility,TransCanada PipeLines Ltd.,0,0,2907,9179,0,0,0,12086, -   , -   ,6412,35, -   , -   , -   ,6447,- ,- ,6120,105,- ,- ,- ,6225
ANG Elko Facility,TransCanada PipeLines Ltd.,0,0,1912,7844,0,0,0,9756, -   , -   ,5882,21, -   , -   , -   ,5903,NA,NA,NA,NA,NA,NA,NA,0
ANG Moyie Facility,TransCanada PipeLines Ltd.,0,0,1165,7512,0,0,0,8677, -   , -   ,3351,74, -   , -   , -   ,3425,NA,NA,NA,NA,NA,NA,NA,0
Annacis Division,Coastland Wood Industries Ltd.,0,0,0,0,3018,0,0,3018, -   , -   , -   , -   ,100, -   , -   ,100,- ,- ,- ,- ,109,- ,- ,109
Annacis Island Wastewater Treatment Plant,Greater Vancouver Regional District,0,0,0,0,0,6684,0,6684, -   , -   , -   , -   , -   ,6385, -   ,6385,- ,- ,- ,- ,- ,7752,- ,7752
Arl Komie C-100-G/094-O-08,Devon Canada Corporation,0,988,120,1519,0,0,0,2627, -   ,874,640,1723, -   , -   , -   ,3237,- ,497,424,91,- ,- ,- ,515
Babcock Comp Stn D-099-E,Canadian Natural Resources Limited,0,45,5,1975,0,0,0,2025, -   ,1105,10,1977, -   , -   , -   ,3092,- ,1132,24,1975,- ,- ,- ,1999
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,0,45,406,328,0,0,0,779, -   ,34119,22384,13843, -   , -   , -   ,70346,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,0,45,406,328,0,0,0,779, -   ,5781,98255,84183, -   , -   , -   ,188219,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,0,45,406,328,0,0,0,779, -   ,22252,4043,456, -   , -   , -   ,26751,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,0,45,406,328,0,0,0,779, -   ,2454,4504,4804, -   , -   , -   ,11762,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Nexen Inc.,0,45,406,328,0,0,0,779, -   , -   ,22,567, -   , -   , -   ,589,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   , -   ,30,142, -   , -   , -   ,172,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   , -   ,3329,7850, -   , -   , -   ,11179,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,500,5616,6922, -   , -   , -   ,13038,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,5138,2402,3937, -   , -   , -   ,11477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,6923,18897,16276, -   , -   , -   ,42096,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,236,5783,1127, -   , -   , -   ,7146,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,66236,101507,68734, -   , -   , -   ,236477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,1398,19,7842, -   , -   , -   ,9259,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,11600,3061,8369, -   , -   , -   ,23030,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,170,513,1246, -   , -   , -   ,1929,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,1898,12945,20444, -   , -   , -   ,35287,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,2662,1566,1292, -   , -   , -   ,5520,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   , -   , -   ,1311, -   , -   , -   ,1311,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,34119,22384,13843, -   , -   , -   ,70346,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,24, -   ,702, -   , -   , -   ,726,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,4162,3370,14438, -   , -   , -   ,21970,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,5781,98255,84183, -   , -   , -   ,188219,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,22252,4043,456, -   , -   , -   ,26751,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,2454,4504,4804, -   , -   , -   ,11762,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   , -   ,22,567, -   , -   , -   ,589,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,6118, -   ,1151, -   , -   , -   ,7269,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,2617,6462,16537, -   , -   , -   ,25616,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,2176,10400,14379, -   , -   , -   ,26955,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,10293,2418,6518, -   , -   , -   ,19229,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,1684,10,334, -   , -   , -   ,2028,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,2547,7039,6792, -   , -   , -   ,16378,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,10808,16835,18303, -   , -   , -   ,45946,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,1504, -   ,550, -   , -   , -   ,2054,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,1260,4232,1678, -   , -   , -   ,7170,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,1006,9255,16013, -   , -   , -   ,26274,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,2078,14475,10926, -   , -   , -   ,27479,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   , -   ,8152,1784, -   , -   , -   ,9936,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,2756,10924,8261, -   , -   , -   ,21941,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,3008,4102,10677, -   , -   , -   ,17787,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   , -   ,254,1097, -   , -   , -   ,1351,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,2,13440,60541, -   , -   , -   ,73983,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,11,665,233, -   , -   , -   ,909,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,12159,1347,3253, -   , -   , -   ,16759,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,1823,1741,11794, -   , -   , -   ,15358,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   ,24840,152515,311153, -   , -   , -   ,488508,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",British Columbia Hydro and Power Authority,0,0,0,45776,0,0,0,45776, -   , -   , -   ,27828, -   , -   , -   ,27828,NA,NA,NA,NA,NA,NA,NA,0
