Company,Facility,Total Stationary Combusion,Total Industrial Process,Total Flaring,Total Venting,Total Fugitive,Total On-site Transportation,Total Waste,Total Wastewater,Total Combined Industrial Process and Stationary Combustion,Total Emissions (tonnes CO2e)
Aitken Creek Gas Storage ULC,BC Linear Facilities Operation (LFO),"32,860 ",0 ,"5,941 ","5,030 ","6,016 ",0 ,0 ,0 ,0 ,"49,847 "
Alliance Pipeline Ltd.,Taylor Compressor Station,"17,936 ",0 ,0 ,773 ,"4,133 ",0 ,0 ,0 ,0 ,"22,842 "
Alliance Pipeline Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)",235 ,0 ,0 ,121 ,595 ,0 ,0 ,0 ,0 ,951 
Apache Canada Ltd.,Horn River Drillings and Completions,"29,662 ",0 ,0 ,0 ,"4,374 ",0 ,0 ,0 ,0 ,"34,036 "
Apache Canada Ltd.,Missile Facility,"12,947 ",0 ,0 ,"4,882 ",0 ,0 ,0 ,0 ,0 ,"17,829 "
Apache Canada Ltd.,Noel Drillings & Completions,"9,128 ",0 ,"1,613 ",0 ,0 ,0 ,0 ,0 ,0 ,"10,741 "
Apache Canada Ltd.,Noel Production,"8,237 ",0 ,"2,518 ","18,369 ",0 ,0 ,0 ,0 ,0 ,"29,124 "
Apache Canada Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","24,549 ",0 ,355 ,"4,913 ",0 ,0 ,0 ,0 ,0 ,"29,817 "
ARC Resources,Dawson Comp Stn 01-34,"8,622 ",0 ,473 ,0 ,"3,091 ",0 ,0 ,0 ,0 ,"12,187 "
ARC Resources,Dawson Sour Gas Plant 05-35,"41,215 ",0 ,"2,374 ",0 ,"3,433 ",0 ,0 ,0 ,0 ,"47,022 "
ARC Resources,Parkland Gas Plant 03-09,"5,082 ",0 ,"1,927 ",0 ,"3,000 ",0 ,0 ,0 ,0 ,"10,009 "
ARC Resources,"BC Aggregated Facilities (E < 10,000 tCO2e each)","17,201 ",0 ,"25,917 ","28,854 ","11,310 ",0 ,0 ,0 ,0 ,"83,281 "
Aux Sable Canada L.P.,Septimus Sweet Gas Plant 12-27,"13,987 ",0 ,745 ,0 ,"1,377 ",0 ,0 ,0 ,0 ,"16,109 "
Aux Sable Canada L.P.,"BC Aggregated Facilities (E < 10,000 tCO2e each)",0 ,0 ,0 ,0 ,142 ,0 ,0 ,0 ,0 ,142 
Baytex Energy,"BC Aggregated Facilities (E < 10,000 tCO2e each)","20,573 ",0 ,759 ,10 ,"2,647 ",0 ,0 ,0 ,0 ,"23,990 "
Bonavista Energy Corporation,Nig Creek A-94-B/94-H-4,"10,920 ",0 ,594 ,"1,043 ","2,314 ",0 ,0 ,0 ,0 ,"14,871 "
Bonavista Energy Corporation,"BC Aggregated Facilities (E < 10,000 tCO2e each)","45,657 ",0 ,"6,784 ","4,753 ","5,838 ",0 ,0 ,0 ,0 ,"63,032 "
British Columbia Hydro and Power Authority,Mica Generating Station,2 ,0 ,0 ,0 ,"15,521 ",0 ,0 ,0 ,0 ,"15,523 "
British Columbia Hydro and Power Authority,"BC Aggregated Facilities (E < 10,000 tCO2e each)",224 ,0 ,0 ,0 ,"45,776 ",0 ,0 ,0 ,0 ,"46,000 "
British Columbia Hydro and Power Authority,Burrard Generating Station,"41,617 ",0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,"41,622 "
British Columbia Hydro and Power Authority,Fort Nelson Generating Station,"160,556 ",0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,"160,557 "
British Columbia Hydro and Power Authority,Masset Diesel Generating Station,"19,219 ",0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,"19,220 "
Buckeye Canada,Delta Plant,"4,581 ",0 ,0 ,0 ,0 ,89 ,0 ,0 ,0 ,"4,669 "
Canadian Autoparts Toyota Inc.,Canadian Autoparts Toyota Facility,"16,486 ",0 ,0 ,0 ,0 ,149 ,0 ,0 ,0 ,"16,635 "
Canadian Forest Products Ltd.,Canfor Taylor Pulp,"59,507 ",0 ,0 ,0 ,0 ,"1,858 ",0 ,19 ,0 ,"61,383 "
Canadian Forest Products Ltd.,Plateau Sawmill,"5,633 ",0 ,0 ,0 ,0 ,"3,035 ","2,426 ",0 ,0 ,"11,094 "
Canadian Forest Products Ltd.,Prince George Sawmill,"9,966 ",0 ,0 ,0 ,0 ,"1,821 ",0 ,0 ,0 ,"11,787 "
