Company,Facility,Total Stationary Combusion,Total Industrial Process,Total Flaring,Total Venting,Total Fugitive,Total On-site Transportation,Total Waste,Total Wastewater,Total Combined Industrial Process and Stationary Combustion,Total Emissions (tonnes CO2e)
Alliance Pipeline Ltd.,"BC Aggregated Facilities (E <10,000 tCO2e each)",260 ,- ,- ,25 ,821 ,- ,- ,- ,- ,"1,106 "
Alliance Pipeline Ltd.,Taylor Compressor Station,"22,831 ",- ,- ,"1,262 ",63 ,- ,- ,- ,- ,"24,156 "
AltaGas Ltd.,"BC Aggregated Facilities (E <10,000 tCO2e each)",89 ,- ,- ,"1,499 ","1,639 ",- ,- ,- ,- ,"3,227 "
AltaGas Ltd.,Blair Creek Comp Stn D-058-F,"19,183 ",- ,"1,651 ",3 ,715 ,- ,- ,- ,- ,"21,552 "
AltaGas Ltd.,Younger NGL Extraction Plant,"4,284 ",- ,"7,943 ",- ,"1,688 ",- ,- ,- ,- ,"13,915 "
Apache Canada Ltd.,"BC Aggregated Facilities (E <10,000 tCO2e each)","45,116 ",- ,"6,688 ","8,435 ","16,987 ",- ,- ,- ,- ,"77,226 "
Apache Canada Ltd.,Noel 7729,"6,331 ",- ,"2,636 ",- ,"1,954 ",- ,- ,- ,- ,"10,922 "
ARC Resources,"BC Aggregated Facilities (E <10,000 tCO2e each)","18,184 ",- ,"7,056 ","23,567 ","15,828 ",- ,- ,- ,- ,"64,635 "
ARC Resources,Dawson Comp Stn 01-34,"16,392 ",- ,"1,155 ",- ,"3,105 ",- ,- ,- ,- ,"20,652 "
ARC Resources,Dawson Sour Gas Plant 05-35,"10,682 ",- ,"5,371 ",- ,784 ,- ,- ,- ,- ,"16,836 "
ARC Resources,Parkland Comp Stn 08-13,"14,310 ",- ,295 ,321 ,"2,873 ",- ,- ,- ,- ,"17,798 "
Aux Sable Canada L.P.,"BC Aggregated Facilities (E <10,000 tCO2e each)",- ,- ,- ,- ,120 ,- ,- ,- ,- ,120 
Aux Sable Canada L.P.,Septimus Sweet Gas Plant 12-27,"25,032 ",- ,493 ,"1,060 ",29 ,- ,- ,- ,- ,"26,615 "
Baytex Energy,"BC Aggregated Facilities (E <10,000 tCO2e each)","16,947 ",- ,"1,151 ",10 ,345 ,- ,- ,- ,- ,"18,453 "
